id_empleado,periodo,horas_trabajadas,horas_facturables,horas_no_facturables,horas_extra,region,costo_hora,costo_laboral,tipo_costo,moneda
E001,2025-05,127,92,35,0,Europe,24.45,3105.15,Salario,USD
E001,2025-06,151,118,33,0,Europe,24.45,3691.95,Salario,USD
E001,2025-07,159,140,19,0,Europe,24.45,3887.55,Salario,USD
E001,2025-08,103,68,35,0,Europe,24.45,2518.35,Salario,USD
E001,2025-09,99,64,35,0,Europe,24.45,2420.55,Salario,USD
E001,2025-10,161,120,41,1,Europe,24.45,3936.45,Salario,USD
E001,2025-11,121,95,26,0,Europe,24.45,2958.45,Salario,USD
E001,2025-12,128,79,49,0,Europe,24.45,3129.6,Salario,USD
E002,2025-06,130,101,29,0,APAC,12.66,1645.8,Salario,USD
E002,2025-07,122,103,19,0,APAC,12.66,1544.52,Salario,USD
E002,2025-08,131,116,15,0,APAC,12.66,1658.46,Salario,USD
E002,2025-09,91,64,27,0,APAC,12.66,1152.06,Salario,USD
E002,2025-10,106,94,12,0,APAC,12.66,1341.96,Salario,USD
E002,2025-11,136,89,47,0,APAC,12.66,1721.76,Salario,USD
E002,2025-12,138,113,25,0,APAC,12.66,1747.08,Salario,USD
E003,2025-01,149,120,29,0,LATAM,22.63,3371.87,Salario,USD
E003,2025-02,162,120,42,2,LATAM,22.63,3666.06,Salario,USD
E003,2025-03,128,113,15,0,LATAM,22.63,2896.64,Salario,USD
E003,2025-04,89,69,20,0,LATAM,22.63,2014.07,Salario,USD
E003,2025-05,151,92,59,0,LATAM,22.63,3417.13,Salario,USD
E003,2025-06,128,84,44,0,LATAM,22.63,2896.64,Salario,USD
E003,2025-07,106,93,13,0,LATAM,22.63,2398.78,Salario,USD
E003,2025-08,139,118,21,0,LATAM,22.63,3145.57,Salario,USD
E003,2025-09,129,102,27,0,LATAM,22.63,2919.27,Salario,USD
E003,2025-10,122,93,29,0,LATAM,22.63,2760.86,Salario,USD
E003,2025-11,122,98,24,0,LATAM,22.63,2760.86,Salario,USD
E003,2025-12,131,101,30,0,LATAM,22.63,2964.53,Salario,USD
E004,2025-01,148,123,25,0,Europe,18.98,2809.04,Salario,USD
E004,2025-02,137,103,34,0,Europe,18.98,2600.26,Salario,USD
E004,2025-03,131,87,44,0,Europe,18.98,2486.38,Salario,USD
E004,2025-04,89,79,10,0,Europe,18.98,1689.22,Salario,USD
E004,2025-05,92,69,23,0,Europe,18.98,1746.16,Salario,USD
E004,2025-06,147,91,56,0,Europe,18.98,2790.06,Salario,USD
E004,2025-07,108,89,19,0,Europe,18.98,2049.84,Salario,USD
E004,2025-08,131,103,28,0,Europe,18.98,2486.38,Salario,USD
E004,2025-09,159,114,45,0,Europe,18.98,3017.82,Salario,USD
E004,2025-10,86,65,21,0,Europe,18.98,1632.28,Salario,USD
